Unidad;Nivel_Base;HP;PA;CA;CARGA DE MATERIALES;Destreza;Velocidad;Sigilo;Madera;Piedra;Hierro;Carbón;Oro
Explorador;5;125;23;11;1;11;22;13;10000;10000;10000;10000;10000
Explorador;6;125;23;11;1;11;23;14;10000;10000;10000;10000;10000
Explorador;7;125;23;11;1;11;24;15;10000;10000;10000;10000;10000
Explorador;8;125;23;11;1;11;25;16;10000;10000;10000;10000;10000
Explorador;9;125;23;11;1;11;26;17;10000;10000;10000;10000;10000
Explorador;10;138;24;12;2;12;27;18;10000;10000;10000;10000;10000
Explorador;11;138;24;12;2;12;28;19;10000;10000;10000;10000;10000
Explorador;12;138;24;12;2;12;29;20;10000;10000;10000;10000;10000
Explorador;13;138;24;12;2;12;30;21;10000;10000;10000;10000;10000
Explorador;14;138;24;12;2;12;31;22;10000;10000;10000;10000;10000
Explorador;15;152;25;13;4;13;32;23;10000;10000;10000;10000;10000
Explorador;16;152;25;13;4;13;33;24;10000;10000;10000;10000;10000
Explorador;17;152;25;13;4;13;34;25;10000;10000;10000;10000;10000
Explorador;18;152;25;13;4;13;35;26;10000;10000;10000;10000;10000
Explorador;19;152;25;13;4;13;36;27;10000;10000;10000;10000;10000
Explorador;20;168;26;14;8;14;37;28;10000;10000;10000;10000;10000
Explorador;21;168;26;14;8;14;38;29;10000;10000;10000;10000;10000
Explorador;22;168;26;14;8;14;39;30;10000;10000;10000;10000;10000
Explorador;23;168;26;14;8;14;40;31;10000;10000;10000;10000;10000
Explorador;24;168;26;14;8;14;41;32;10000;10000;10000;10000;10000
Explorador;25;185;27;15;16;15;42;33;10000;10000;10000;10000;10000
Explorador;26;185;27;15;16;15;43;34;10000;10000;10000;10000;10000
Explorador;27;185;27;15;16;15;44;35;10000;10000;10000;10000;10000
Explorador;28;185;27;15;16;15;45;36;10000;10000;10000;10000;10000
Explorador;29;185;27;15;16;15;46;37;10000;10000;10000;10000;10000
Explorador;30;204;28;16;32;16;47;38;10000;10000;10000;10000;10000
Explorador;31;204;28;16;32;16;48;39;10000;10000;10000;10000;10000
Explorador;32;204;28;16;32;16;49;40;10000;10000;10000;10000;10000
Explorador;33;204;28;16;32;16;50;41;10000;10000;10000;10000;10000
Explorador;34;204;28;16;32;16;51;42;10000;10000;10000;10000;10000
Explorador;35;225;29;17;64;17;52;43;10000;10000;10000;10000;10000
Explorador;36;225;29;17;64;17;53;44;10000;10000;10000;10000;10000
Explorador;37;225;29;17;64;17;54;45;10000;10000;10000;10000;10000
Explorador;38;225;29;17;64;17;55;46;10000;10000;10000;10000;10000
Explorador;39;225;29;17;64;17;56;47;10000;10000;10000;10000;10000
Explorador;40;248000;30000;1800;256,000,000;180;500;98;10000;10000;10000;10000;10000
Guerrero;1;120;75;20;200;10;12;1;20000;20000;20000;20000;20000
Guerrero;2;120;75;20;200;10;13;1;20000;20000;20000;20000;20000
Guerrero;3;120;75;20;200;10;14;1;20000;20000;20000;20000;20000
Guerrero;4;120;75;20;200;10;15;1;20000;20000;20000;20000;20000
Guerrero;5;273;76;21;400;11;16;1;20000;20000;20000;20000;20000
Guerrero;6;273;76;21;400;11;17;1;20000;20000;20000;20000;20000
Guerrero;7;273;76;21;400;11;18;1;20000;20000;20000;20000;20000
Guerrero;8;273;76;21;400;11;19;1;20000;20000;20000;20000;20000
Guerrero;9;273;76;21;400;11;20;1;20000;20000;20000;20000;20000
Guerrero;10;301;77;22;800;12;21;1;20000;20000;20000;20000;20000
Guerrero;11;301;77;22;800;12;22;1;20000;20000;20000;20000;20000
Guerrero;12;301;77;22;800;12;23;1;20000;20000;20000;20000;20000
Guerrero;13;301;77;22;800;12;24;1;20000;20000;20000;20000;20000
Guerrero;14;301;77;22;800;12;25;1;20000;20000;20000;20000;20000
Guerrero;15;332;78;23;1,6;13;26;1;20000;20000;20000;20000;20000
Guerrero;16;332;78;23;1,6;13;27;1;20000;20000;20000;20000;20000
Guerrero;17;332;78;23;1,6;13;28;1;20000;20000;20000;20000;20000
Guerrero;18;332;78;23;1,6;13;29;1;20000;20000;20000;20000;20000
Guerrero;19;332;78;23;1,6;13;30;1;20000;20000;20000;20000;20000
Guerrero;20;366;79;24;3,2;14;31;1;20000;20000;20000;20000;20000
Guerrero;21;366;79;24;3,2;14;32;1;20000;20000;20000;20000;20000
Guerrero;22;366;79;24;3,2;14;33;1;20000;20000;20000;20000;20000
Guerrero;23;366;79;24;3,2;14;34;1;20000;20000;20000;20000;20000
Guerrero;24;366;79;24;3,2;14;35;1;20000;20000;20000;20000;20000
Guerrero;25;403;80;25;6,4;15;36;1;20000;20000;20000;20000;20000
Guerrero;26;403;80;25;6,4;15;37;1;20000;20000;20000;20000;20000
Guerrero;27;403;80;25;6,4;15;38;1;20000;20000;20000;20000;20000
Guerrero;28;403;80;25;6,4;15;39;1;20000;20000;20000;20000;20000
Guerrero;29;403;80;25;6,4;15;40;1;20000;20000;20000;20000;20000
Guerrero;30;444;81;26;12,8;16;41;1;20000;20000;20000;20000;20000
Guerrero;31;444;81;26;12,8;16;42;1;20000;20000;20000;20000;20000
Guerrero;32;444;81;26;12,8;16;43;1;20000;20000;20000;20000;20000
Guerrero;33;444;81;26;12,8;16;44;1;20000;20000;20000;20000;20000
Guerrero;34;444;81;26;12,8;16;45;1;20000;20000;20000;20000;20000
Guerrero;35;489;82;27;25,6;17;46;1;20000;20000;20000;20000;20000
Guerrero;36;489;82;27;25,6;17;47;1;20000;20000;20000;20000;20000
Guerrero;37;489;82;27;25,6;17;48;1;20000;20000;20000;20000;20000
Guerrero;38;489;82;27;25,6;17;49;1;20000;20000;20000;20000;20000
Guerrero;39;489;82;27;25,6;17;50;1;20000;20000;20000;20000;20000
Guerrero;40;285200;34500;2070;51,200,000;180;250;1;20000;20000;20000;20000;20000
Sacerdote;1;500;45;10;300;50;52;1;50000;50000;50000;50000;50000
Sacerdote;2;500;45;10;300;50;53;1;50000;50000;50000;50000;50000
Sacerdote;3;500;45;10;300;50;54;1;50000;50000;50000;50000;50000
Sacerdote;4;500;45;10;300;50;55;1;50000;50000;50000;50000;50000
Sacerdote;5;592;46;11;600;51;56;1;50000;50000;50000;50000;50000
Sacerdote;6;592;46;11;600;51;57;1;50000;50000;50000;50000;50000
Sacerdote;7;592;46;11;600;51;58;1;50000;50000;50000;50000;50000
Sacerdote;8;592;46;11;600;51;59;1;50000;50000;50000;50000;50000
Sacerdote;9;592;46;11;600;51;60;1;50000;50000;50000;50000;50000
Sacerdote;10;652;47;12;1,2;52;61;1;50000;50000;50000;50000;50000
Sacerdote;11;652;47;12;1,2;52;62;1;50000;50000;50000;50000;50000
Sacerdote;12;652;47;12;1,2;52;63;1;50000;50000;50000;50000;50000
Sacerdote;13;652;47;12;1,2;52;64;1;50000;50000;50000;50000;50000
Sacerdote;14;652;47;12;1,2;52;65;1;50000;50000;50000;50000;50000
Sacerdote;15;718;48;13;2,4;53;66;1;50000;50000;50000;50000;50000
Sacerdote;16;718;48;13;2,4;53;67;1;50000;50000;50000;50000;50000
Sacerdote;17;718;48;13;2,4;53;68;1;50000;50000;50000;50000;50000
Sacerdote;18;718;48;13;2,4;53;69;1;50000;50000;50000;50000;50000
Sacerdote;19;718;48;13;2,4;53;70;1;50000;50000;50000;50000;50000
Sacerdote;20;790;49;14;4,8;54;71;1;50000;50000;50000;50000;50000
Sacerdote;21;790;49;14;4,8;54;72;1;50000;50000;50000;50000;50000
Sacerdote;22;790;49;14;4,8;54;73;1;50000;50000;50000;50000;50000
Sacerdote;23;790;49;14;4,8;54;74;1;50000;50000;50000;50000;50000
Sacerdote;24;790;49;14;4,8;54;75;1;50000;50000;50000;50000;50000
Sacerdote;25;869;50;15;9,6;55;76;1;50000;50000;50000;50000;50000
Sacerdote;26;869;50;15;9,6;55;77;1;50000;50000;50000;50000;50000
Sacerdote;27;869;50;15;9,6;55;78;1;50000;50000;50000;50000;50000
Sacerdote;28;869;50;15;9,6;55;79;1;50000;50000;50000;50000;50000
Sacerdote;29;869;50;15;9,6;55;80;1;50000;50000;50000;50000;50000
Sacerdote;30;956;51;16;19,2;56;81;1;50000;50000;50000;50000;50000
Sacerdote;31;956;51;16;19,2;56;82;1;50000;50000;50000;50000;50000
Sacerdote;32;956;51;16;19,2;56;83;1;50000;50000;50000;50000;50000
Sacerdote;33;956;51;16;19,2;56;84;1;50000;50000;50000;50000;50000
Sacerdote;34;956;51;16;19,2;56;85;1;50000;50000;50000;50000;50000
Sacerdote;35;1052;52;17;38,4;57;86;1;50000;50000;50000;50000;50000
Sacerdote;36;1052;52;17;38,4;57;87;1;50000;50000;50000;50000;50000
Sacerdote;37;1052;52;17;38,4;57;88;1;50000;50000;50000;50000;50000
Sacerdote;38;1052;52;17;38,4;57;89;1;50000;50000;50000;50000;50000
Sacerdote;39;1052;52;17;38,4;57;90;1;50000;50000;50000;50000;50000
Sacerdote;40;115800000;520000;170000;76,800,000;580;490;1;50000;50000;50000;50000;50000
Comando;1;140;350;45;300;15;14;1;60000;60000;60000;60000;60000
Comando;2;140;350;45;300;15;15;1;60000;60000;60000;60000;60000
Comando;3;140;350;45;300;15;16;1;60000;60000;60000;60000;60000
Comando;4;140;350;45;300;15;17;1;60000;60000;60000;60000;60000
Comando;5;155;351;46;600;16;18;1;60000;60000;60000;60000;60000
Comando;6;155;351;46;600;16;19;1;60000;60000;60000;60000;60000
Comando;7;155;351;46;600;16;20;1;60000;60000;60000;60000;60000
Comando;8;155;351;46;600;16;21;1;60000;60000;60000;60000;60000
Comando;9;155;351;46;600;16;22;1;60000;60000;60000;60000;60000
Comando;10;255;352;47;1,2;17;23;1;60000;60000;60000;60000;60000
Comando;11;255;352;47;1,2;17;24;1;60000;60000;60000;60000;60000
Comando;12;255;352;47;1,2;17;25;1;60000;60000;60000;60000;60000
Comando;13;255;352;47;1,2;17;26;1;60000;60000;60000;60000;60000
Comando;14;255;352;47;1,2;17;27;1;60000;60000;60000;60000;60000
Comando;15;321;353;48;2,4;18;28;1;60000;60000;60000;60000;60000
Comando;16;321;353;48;2,4;18;29;1;60000;60000;60000;60000;60000
Comando;17;321;353;48;2,4;18;30;1;60000;60000;60000;60000;60000
Comando;18;321;353;48;2,4;18;31;1;60000;60000;60000;60000;60000
Comando;19;321;353;48;2,4;18;32;1;60000;60000;60000;60000;60000
Comando;20;390;354;49;4,8;19;33;1;60000;60000;60000;60000;60000
Comando;21;390;354;49;4,8;19;34;1;60000;60000;60000;60000;60000
Comando;22;390;354;49;4,8;19;35;1;60000;60000;60000;60000;60000
Comando;23;390;354;49;4,8;19;36;1;60000;60000;60000;60000;60000
Comando;24;390;354;49;4,8;19;37;1;60000;60000;60000;60000;60000
Comando;25;450;355;50;9,6;20;38;1;60000;60000;60000;60000;60000
Comando;26;450;355;50;9,6;20;39;1;60000;60000;60000;60000;60000
Comando;27;450;355;50;9,6;20;40;1;60000;60000;60000;60000;60000
Comando;28;450;355;50;9,6;20;41;1;60000;60000;60000;60000;60000
Comando;29;450;355;50;9,6;20;42;1;60000;60000;60000;60000;60000
Comando;30;560;356;51;19,2;21;43;1;60000;60000;60000;60000;60000
Comando;31;560;356;51;19,2;21;44;1;60000;60000;60000;60000;60000
Comando;32;560;356;51;19,2;21;45;1;60000;60000;60000;60000;60000
Comando;33;560;356;51;19,2;21;46;1;60000;60000;60000;60000;60000
Comando;34;560;356;51;19,2;21;47;1;60000;60000;60000;60000;60000
Comando;35;750;357;52;38,4;22;48;1;60000;60000;60000;60000;60000
Comando;36;750;357;52;38,4;22;49;1;60000;60000;60000;60000;60000
Comando;37;750;357;52;38,4;22;50;1;60000;60000;60000;60000;60000
Comando;38;750;357;52;38,4;22;51;1;60000;60000;60000;60000;60000
Comando;39;750;357;52;38,4;22;52;1;60000;60000;60000;60000;60000
Comando;40;248227586;358000;53000;76,800,000;230;530;1;60000;60000;60000;60000;60000
Mercenario;1;160;450;80;250;20;12;1;70000;70000;70000;70000;70000
Mercenario;2;160;450;80;250;20;13;1;70000;70000;70000;70000;70000
Mercenario;3;160;450;80;250;20;14;1;70000;70000;70000;70000;70000
Mercenario;4;160;450;80;250;20;15;1;70000;70000;70000;70000;70000
Mercenario;5;194;451;81;500;21;16;1;70000;70000;70000;70000;70000
Mercenario;6;194;451;81;500;21;17;1;70000;70000;70000;70000;70000
Mercenario;7;194;451;81;500;21;18;1;70000;70000;70000;70000;70000
Mercenario;8;194;451;81;500;21;19;1;70000;70000;70000;70000;70000
Mercenario;9;194;451;81;500;21;20;1;70000;70000;70000;70000;70000
Mercenario;10;319;452;82;1;22;21;1;70000;70000;70000;70000;70000
Mercenario;11;319;452;82;1;22;22;1;70000;70000;70000;70000;70000
Mercenario;12;319;452;82;1;22;23;1;70000;70000;70000;70000;70000
Mercenario;13;319;452;82;1;22;24;1;70000;70000;70000;70000;70000
Mercenario;14;319;452;82;1;22;25;1;70000;70000;70000;70000;70000
Mercenario;15;401;453;83;2;23;26;1;70000;70000;70000;70000;70000
Mercenario;16;401;453;83;2;23;27;1;70000;70000;70000;70000;70000
Mercenario;17;401;453;83;2;23;28;1;70000;70000;70000;70000;70000
Mercenario;18;401;453;83;2;23;29;1;70000;70000;70000;70000;70000
Mercenario;19;401;453;83;2;23;30;1;70000;70000;70000;70000;70000
Mercenario;20;488;454;84;4;24;31;1;70000;70000;70000;70000;70000
Mercenario;21;488;454;84;4;24;32;1;70000;70000;70000;70000;70000
Mercenario;22;488;454;84;4;24;33;1;70000;70000;70000;70000;70000
Mercenario;23;488;454;84;4;24;34;1;70000;70000;70000;70000;70000
Mercenario;24;488;454;84;4;24;35;1;70000;70000;70000;70000;70000
Mercenario;25;563;455;85;8;25;36;1;70000;70000;70000;70000;70000
Mercenario;26;563;455;85;8;25;37;1;70000;70000;70000;70000;70000
Mercenario;27;563;455;85;8;25;38;1;70000;70000;70000;70000;70000
Mercenario;28;563;455;85;8;25;39;1;70000;70000;70000;70000;70000
Mercenario;29;563;455;85;8;25;40;1;70000;70000;70000;70000;70000
Mercenario;30;700;456;86;16;26;41;1;70000;70000;70000;70000;70000
Mercenario;31;700;456;86;16;26;42;1;70000;70000;70000;70000;70000
Mercenario;32;700;456;86;16;26;43;1;70000;70000;70000;70000;70000
Mercenario;33;700;456;86;16;26;44;1;70000;70000;70000;70000;70000
Mercenario;34;700;456;86;16;26;45;1;70000;70000;70000;70000;70000
Mercenario;35;938;457;87;32;27;46;1;70000;70000;70000;70000;70000
Mercenario;36;938;457;87;32;27;47;1;70000;70000;70000;70000;70000
Mercenario;37;938;457;87;32;27;48;1;70000;70000;70000;70000;70000
Mercenario;38;938;457;87;32;27;49;1;70000;70000;70000;70000;70000
Mercenario;39;938;457;87;32;27;50;1;70000;70000;70000;70000;70000
Mercenario;40;532097880;458000;88000;64,000,000;280;550;1;70000;70000;70000;70000;70000
Marine;1;200;1400;250;200;25;60;1;80000;80000;80000;80000;80000
Marine;2;200;1400;250;200;25;61;1;80000;80000;80000;80000;80000
Marine;3;200;1400;250;200;25;62;1;80000;80000;80000;80000;80000
Marine;4;200;1400;250;200;25;63;1;80000;80000;80000;80000;80000
Marine;5;243;1401;251;400;26;64;1;80000;80000;80000;80000;80000
Marine;6;243;1401;251;400;26;65;1;80000;80000;80000;80000;80000
Marine;7;243;1401;251;400;26;66;1;80000;80000;80000;80000;80000
Marine;8;243;1401;251;400;26;67;1;80000;80000;80000;80000;80000
Marine;9;243;1401;251;400;26;68;1;80000;80000;80000;80000;80000
Marine;10;399;1402;252;800;27;69;1;80000;80000;80000;80000;80000
Marine;11;399;1402;252;800;27;70;1;80000;80000;80000;80000;80000
Marine;12;399;1402;252;800;27;71;1;80000;80000;80000;80000;80000
Marine;13;399;1402;252;800;27;72;1;80000;80000;80000;80000;80000
Marine;14;399;1402;252;800;27;73;1;80000;80000;80000;80000;80000
Marine;15;501;1403;253;1,6;28;74;1;80000;80000;80000;80000;80000
Marine;16;501;1403;253;1,6;28;75;1;80000;80000;80000;80000;80000
Marine;17;501;1403;253;1,6;28;76;1;80000;80000;80000;80000;80000
Marine;18;501;1403;253;1,6;28;77;1;80000;80000;80000;80000;80000
Marine;19;501;1403;253;1,6;28;78;1;80000;80000;80000;80000;80000
Marine;20;610;1404;254;3,2;29;79;1;80000;80000;80000;80000;80000
Marine;21;610;1404;254;3,2;29;80;1;80000;80000;80000;80000;80000
Marine;22;610;1404;254;3,2;29;81;1;80000;80000;80000;80000;80000
Marine;23;610;1404;254;3,2;29;82;1;80000;80000;80000;80000;80000
Marine;24;610;1404;254;3,2;29;83;1;80000;80000;80000;80000;80000
Marine;25;704;1405;255;6,4;30;84;1;80000;80000;80000;80000;80000
Marine;26;704;1405;255;6,4;30;85;1;80000;80000;80000;80000;80000
Marine;27;704;1405;255;6,4;30;86;1;80000;80000;80000;80000;80000
Marine;28;704;1405;255;6,4;30;87;1;80000;80000;80000;80000;80000
Marine;29;704;1405;255;6,4;30;88;1;80000;80000;80000;80000;80000
Marine;30;875;1406;256;12,8;31;89;1;80000;80000;80000;80000;80000
Marine;31;875;1406;256;12,8;31;90;1;80000;80000;80000;80000;80000
Marine;32;875;1406;256;12,8;31;91;1;80000;80000;80000;80000;80000
Marine;33;875;1406;256;12,8;31;92;1;80000;80000;80000;80000;80000
Marine;34;875;1406;256;12,8;31;93;1;80000;80000;80000;80000;80000
Marine;35;1173;1407;257;25,6;32;94;1;80000;80000;80000;80000;80000
Marine;36;1173;1407;257;25,6;32;95;1;80000;80000;80000;80000;80000
Marine;37;1173;1407;257;25,6;32;96;1;80000;80000;80000;80000;80000
Marine;38;1173;1407;257;25,6;32;97;1;80000;80000;80000;80000;80000
Marine;39;1173;1407;257;25,6;32;98;1;80000;80000;80000;80000;80000
Marine;40;1425748830;1408000;258000;51,200,000;330;610;1;80000;80000;80000;80000;80000
Cyborg;1;300;3500;900;200;30;120;1;90000;90000;90000;90000;90000
Cyborg;2;300;3500;900;200;30;121;1;90000;90000;90000;90000;90000
Cyborg;3;300;3500;900;200;30;122;1;90000;90000;90000;90000;90000
Cyborg;4;300;3500;900;200;30;123;1;90000;90000;90000;90000;90000
Cyborg;5;304;3501;901;400;31;124;1;90000;90000;90000;90000;90000
Cyborg;6;304;3501;901;400;31;125;1;90000;90000;90000;90000;90000
Cyborg;7;304;3501;901;400;31;126;1;90000;90000;90000;90000;90000
Cyborg;8;304;3501;901;400;31;127;1;90000;90000;90000;90000;90000
Cyborg;9;304;3501;901;400;31;128;1;90000;90000;90000;90000;90000
Cyborg;10;499;3502;902;800;32;129;1;90000;90000;90000;90000;90000
Cyborg;11;499;3502;902;800;32;130;1;90000;90000;90000;90000;90000
Cyborg;12;499;3502;902;800;32;131;1;90000;90000;90000;90000;90000
Cyborg;13;499;3502;902;800;32;132;1;90000;90000;90000;90000;90000
Cyborg;14;499;3502;902;800;32;133;1;90000;90000;90000;90000;90000
Cyborg;15;626;3503;903;1,6;33;134;1;90000;90000;90000;90000;90000
Cyborg;16;626;3503;903;1,6;33;135;1;90000;90000;90000;90000;90000
Cyborg;17;626;3503;903;1,6;33;136;1;90000;90000;90000;90000;90000
Cyborg;18;626;3503;903;1,6;33;137;1;90000;90000;90000;90000;90000
Cyborg;19;626;3503;903;1,6;33;138;1;90000;90000;90000;90000;90000
Cyborg;20;763;3504;904;3,2;34;139;1;90000;90000;90000;90000;90000
Cyborg;21;763;3504;904;3,2;34;140;1;90000;90000;90000;90000;90000
Cyborg;22;763;3504;904;3,2;34;141;1;90000;90000;90000;90000;90000
Cyborg;23;763;3504;904;3,2;34;142;1;90000;90000;90000;90000;90000
Cyborg;24;763;3504;904;3,2;34;143;1;90000;90000;90000;90000;90000
Cyborg;25;880;3505;905;6,4;35;144;1;90000;90000;90000;90000;90000
Cyborg;26;880;3505;905;6,4;35;145;1;90000;90000;90000;90000;90000
Cyborg;27;880;3505;905;6,4;35;146;1;90000;90000;90000;90000;90000
Cyborg;28;880;3505;905;6,4;35;147;1;90000;90000;90000;90000;90000
Cyborg;29;880;3505;905;6,4;35;148;1;90000;90000;90000;90000;90000
Cyborg;30;1094;3506;906;12,8;36;149;1;90000;90000;90000;90000;90000
Cyborg;31;1094;3506;906;12,8;36;150;1;90000;90000;90000;90000;90000
Cyborg;32;1094;3506;906;12,8;36;151;1;90000;90000;90000;90000;90000
Cyborg;33;1094;3506;906;12,8;36;152;1;90000;90000;90000;90000;90000
Cyborg;34;1094;3506;906;12,8;36;153;1;90000;90000;90000;90000;90000
Cyborg;35;1466;3507;907;25,6;37;154;1;90000;90000;90000;90000;90000
Cyborg;36;1466;3507;907;25,6;37;155;1;90000;90000;90000;90000;90000
Cyborg;37;1466;3507;907;25,6;37;156;1;90000;90000;90000;90000;90000
Cyborg;38;1466;3507;907;25,6;37;157;1;90000;90000;90000;90000;90000
Cyborg;39;1466;3507;907;25,6;37;158;1;90000;90000;90000;90000;90000
Cyborg;40;538311343;3508000;908000;51,200,000;350;650;1;90000;90000;90000;90000;90000
Mago;1;350;6500;1500;200;35;150;1;200000;200000;200000;200000;200000
Mago;2;350;6500;1500;200;35;151;1;200000;200000;200000;200000;200000
Mago;3;350;6500;1500;200;35;152;1;200000;200000;200000;200000;200000
Mago;4;350;6500;1500;200;35;153;1;200000;200000;200000;200000;200000
Mago;5;380;6501;1501;400;36;154;1;200000;200000;200000;200000;200000
Mago;6;380;6501;1501;400;36;155;1;200000;200000;200000;200000;200000
Mago;7;380;6501;1501;400;36;156;1;200000;200000;200000;200000;200000
Mago;8;380;6501;1501;400;36;157;1;200000;200000;200000;200000;200000
Mago;9;380;6501;1501;400;36;158;1;200000;200000;200000;200000;200000
Mago;10;624;6502;1502;800;37;159;1;200000;200000;200000;200000;200000
Mago;11;624;6502;1502;800;37;160;1;200000;200000;200000;200000;200000
Mago;12;624;6502;1502;800;37;161;1;200000;200000;200000;200000;200000
Mago;13;624;6502;1502;800;37;162;1;200000;200000;200000;200000;200000
Mago;14;624;6502;1502;800;37;163;1;200000;200000;200000;200000;200000
Mago;15;783;6503;1503;1,6;38;164;1;200000;200000;200000;200000;200000
Mago;16;783;6503;1503;1,6;38;165;1;200000;200000;200000;200000;200000
Mago;17;783;6503;1503;1,6;38;166;1;200000;200000;200000;200000;200000
Mago;18;783;6503;1503;1,6;38;167;1;200000;200000;200000;200000;200000
Mago;19;783;6503;1503;1,6;38;168;1;200000;200000;200000;200000;200000
Mago;20;954;6504;1504;3,2;39;169;1;200000;200000;200000;200000;200000
Mago;21;954;6504;1504;3,2;39;170;1;200000;200000;200000;200000;200000
Mago;22;954;6504;1504;3,2;39;171;1;200000;200000;200000;200000;200000
Mago;23;954;6504;1504;3,2;39;172;1;200000;200000;200000;200000;200000
Mago;24;954;6504;1504;3,2;39;173;1;200000;200000;200000;200000;200000
Mago;25;1100;6505;1505;6,4;40;174;1;200000;200000;200000;200000;200000
Mago;26;1100;6505;1505;6,4;40;175;1;200000;200000;200000;200000;200000
Mago;27;1100;6505;1505;6,4;40;176;1;200000;200000;200000;200000;200000
Mago;28;1100;6505;1505;6,4;40;177;1;200000;200000;200000;200000;200000
Mago;29;1100;6505;1505;6,4;40;178;1;200000;200000;200000;200000;200000
Mago;30;1368;6506;1506;12,8;41;179;1;200000;200000;200000;200000;200000
Mago;31;1368;6506;1506;12,8;41;180;1;200000;200000;200000;200000;200000
Mago;32;1368;6506;1506;12,8;41;181;1;200000;200000;200000;200000;200000
Mago;33;1368;6506;1506;12,8;41;182;1;200000;200000;200000;200000;200000
Mago;34;1368;6506;1506;12,8;41;183;1;200000;200000;200000;200000;200000
Mago;35;1833;6507;1507;25,6;42;184;1;200000;200000;200000;200000;200000
Mago;36;1833;6507;1507;25,6;42;185;1;200000;200000;200000;200000;200000
Mago;37;1833;6507;1507;25,6;42;186;1;200000;200000;200000;200000;200000
Mago;38;1833;6507;1507;25,6;42;187;1;200000;200000;200000;200000;200000
Mago;39;1833;6507;1507;25,6;42;188;1;200000;200000;200000;200000;200000
Mago;40;1.15E+09;5997605;3076759;1,024,000,000;500;777;1;200000;200000;200000;200000;200000
Metahumano;1;400;13800;55;200;40;300;1;100000;100000;100000;100000;100000
Metahumano;2;400;13800;55;200;40;301;1;100000;100000;100000;100000;100000
Metahumano;3;400;13800;55;200;40;302;1;100000;100000;100000;100000;100000
Metahumano;4;400;13800;55;200;40;303;1;100000;100000;100000;100000;100000
Metahumano;5;475;13801;56;400;41;304;1;100000;100000;100000;100000;100000
Metahumano;6;475;13801;56;400;41;305;1;100000;100000;100000;100000;100000
Metahumano;7;475;13801;56;400;41;306;1;100000;100000;100000;100000;100000
Metahumano;8;475;13801;56;400;41;307;1;100000;100000;100000;100000;100000
Metahumano;9;475;13801;56;400;41;308;1;100000;100000;100000;100000;100000
Metahumano;10;780;13802;57;800;42;309;1;100000;100000;100000;100000;100000
