tipo;nivel;exp
Marine;18;6373
Marine;19;6728
Marine;20;7082
Marine;21;7436
Marine;22;7790
Marine;23;8144
Marine;24;8498
Marine;25;8852
Marine;26;9206
Marine;27;9560
Marine;28;9914
Marine;29;10268
Marine;30;10622
Marine;31;10977
Marine;32;11331
Marine;33;11685
Marine;34;12039
Marine;35;12393
Marine;36;12747
Marine;37;13101
Marine;38;13455
Marine;39;138090
Marine;40;1416300
Cyborg;1;906
Cyborg;2;1812
Cyborg;3;2718
Cyborg;4;3624
Cyborg;5;4531
Cyborg;6;5437
Cyborg;7;6343
Cyborg;8;7249
Cyborg;9;8155
Cyborg;10;9061
Cyborg;11;9967
Cyborg;12;10873
Cyborg;13;11780
Cyborg;14;12686
Cyborg;15;13592
Cyborg;16;14498
Cyborg;17;15404
Cyborg;18;16310
Cyborg;19;17216
Cyborg;20;18122
Cyborg;21;19029
Cyborg;22;19935
Cyborg;23;20841
Cyborg;24;21747
Cyborg;25;22653
Cyborg;26;23559
Cyborg;27;24465
Cyborg;28;25371
Cyborg;29;26278
Cyborg;30;27184
Cyborg;31;28090
Cyborg;32;28996
Cyborg;33;29902
Cyborg;34;30808
Cyborg;35;31714
Cyborg;36;32620
Cyborg;37;33527
Cyborg;38;34433
Cyborg;39;353390
Cyborg;40;3624500
Mago;1;1614
Mago;2;3229
Mago;3;4843
Mago;4;6457
Mago;5;8071
Mago;6;9686
Mago;7;11300
Mago;8;12914
Mago;9;14529
Mago;10;16143
Mago;11;17757
Mago;12;19371
Mago;13;20986
Mago;14;22600
Mago;15;24214
Mago;16;25829
Mago;17;27443
Mago;18;29057
Mago;19;30671
Mago;20;32286
Mago;21;33900
Mago;22;35514
Mago;23;37129
Mago;24;38743
Mago;25;40357
Mago;26;41971
Mago;27;43586
Mago;28;45200
Mago;29;46814
Mago;30;48429
Mago;31;50043
Mago;32;51657
Mago;33;53271
Mago;34;54886
Mago;35;56500
Mago;36;58114
Mago;37;59729
Mago;38;61343
Mago;39;629570
Mago;40;6457100
Metahumano;1;2852
Metahumano;2;5704
Metahumano;3;8556
Metahumano;4;11408
Metahumano;5;14260
Metahumano;6;17112
Metahumano;7;19964
Metahumano;8;22816
Metahumano;9;25667
Metahumano;10;28519
Metahumano;11;31371
Metahumano;12;34223
Metahumano;13;37075
Metahumano;14;39927
Metahumano;15;42779
Metahumano;16;45631
Metahumano;17;48483
Metahumano;18;51335
Metahumano;19;54187
Metahumano;20;57039
Metahumano;21;59891
Metahumano;22;62743
Metahumano;23;65595
Metahumano;24;68447
Metahumano;25;71298
Metahumano;26;74150
Metahumano;27;77002
Metahumano;28;79854
Metahumano;29;82706
Metahumano;30;85558
Metahumano;31;88410
Metahumano;32;91262
Metahumano;33;94114
Metahumano;34;96966
Metahumano;35;99818
Metahumano;36;102670
Metahumano;37;105522
Metahumano;38;108374
Metahumano;39;1112260
Metahumano;40;11407800
