id;x;y;nombre;tipo
Inactivo-003;585;96;ciudadinac3-12;Inactivos
Inactivo-004;671;794;ciudadinac4-1;Inactivos
Inactivo-004;966;967;ciudadinac4-2;Inactivos
Inactivo-004;866;425;ciudadinac4-3;Inactivos
Inactivo-004;383;857;ciudadinac4-4;Inactivos
Inactivo-004;280;244;ciudadinac4-5;Inactivos
Inactivo-004;53;438;ciudadinac4-6;Inactivos
Inactivo-004;526;433;ciudadinac4-7;Inactivos
Inactivo-004;421;545;ciudadinac4-8;Inactivos
Inactivo-004;400;2;ciudadinac4-9;Inactivos
Inactivo-004;71;150;ciudadinac4-10;Inactivos
Inactivo-004;567;915;ciudadinac4-11;Inactivos
Inactivo-004;886;887;ciudadinac4-12;Inactivos
Inactivo-005;835;44;ciudadinac5-1;Inactivos
Inactivo-005;975;812;ciudadinac5-2;Inactivos
Inactivo-005;351;522;ciudadinac5-3;Inactivos
Inactivo-005;757;708;ciudadinac5-4;Inactivos
Inactivo-005;482;752;ciudadinac5-5;Inactivos
Inactivo-005;190;114;ciudadinac5-6;Inactivos
Inactivo-005;975;773;ciudadinac5-7;Inactivos
Inactivo-005;188;937;ciudadinac5-8;Inactivos
Inactivo-005;36;765;ciudadinac5-9;Inactivos
Inactivo-005;520;633;ciudadinac5-10;Inactivos
Inactivo-005;882;910;ciudadinac5-11;Inactivos
Inactivo-005;447;419;ciudadinac5-12;Inactivos
Inactivo-006;454;75;ciudadinac6-1;Inactivos
Inactivo-006;539;402;ciudadinac6-2;Inactivos
Inactivo-006;2;395;ciudadinac6-3;Inactivos
Inactivo-006;82;669;ciudadinac6-4;Inactivos
Inactivo-006;88;760;ciudadinac6-5;Inactivos
Inactivo-006;33;999;ciudadinac6-6;Inactivos
Inactivo-006;801;16;ciudadinac6-7;Inactivos
Inactivo-006;227;500;ciudadinac6-8;Inactivos
Inactivo-006;445;534;ciudadinac6-9;Inactivos
Inactivo-006;415;758;ciudadinac6-10;Inactivos
Inactivo-006;816;797;ciudadinac6-11;Inactivos
Inactivo-006;743;204;ciudadinac6-12;Inactivos
Inactivo-007;38;787;ciudadinac7-1;Inactivos
Inactivo-007;567;704;ciudadinac7-2;Inactivos
Inactivo-007;590;784;ciudadinac7-3;Inactivos
Inactivo-007;571;854;ciudadinac7-4;Inactivos
Inactivo-007;726;11;ciudadinac7-5;Inactivos
Inactivo-007;676;262;ciudadinac7-6;Inactivos
Inactivo-007;821;462;ciudadinac7-7;Inactivos
Inactivo-007;492;921;ciudadinac7-8;Inactivos
Inactivo-007;160;433;ciudadinac7-9;Inactivos
Inactivo-007;606;229;ciudadinac7-10;Inactivos
Inactivo-007;275;612;ciudadinac7-11;Inactivos
Inactivo-007;355;71;ciudadinac7-12;Inactivos
Inactivo-008;23;726;ciudadinac8-1;Inactivos
Inactivo-008;887;297;ciudadinac8-2;Inactivos
Inactivo-008;738;207;ciudadinac8-3;Inactivos
Inactivo-008;689;832;ciudadinac8-4;Inactivos
Inactivo-008;990;154;ciudadinac8-5;Inactivos
Inactivo-008;894;241;ciudadinac8-6;Inactivos
Inactivo-008;727;604;ciudadinac8-7;Inactivos
Inactivo-008;388;650;ciudadinac8-8;Inactivos
Inactivo-008;656;760;ciudadinac8-9;Inactivos
Inactivo-008;50;308;ciudadinac8-10;Inactivos
Inactivo-008;507;930;ciudadinac8-11;Inactivos
Inactivo-008;250;437;ciudadinac8-12;Inactivos
Inactivo-009;763;403;ciudadinac9-1;Inactivos
Inactivo-009;997;608;ciudadinac9-2;Inactivos
Inactivo-009;440;917;ciudadinac9-3;Inactivos
Inactivo-009;987;357;ciudadinac9-4;Inactivos
Inactivo-009;984;958;ciudadinac9-5;Inactivos
Inactivo-009;613;288;ciudadinac9-6;Inactivos
Inactivo-009;477;70;ciudadinac9-7;Inactivos
Inactivo-009;660;35;ciudadinac9-8;Inactivos
Inactivo-009;44;846;ciudadinac9-9;Inactivos
Inactivo-009;642;781;ciudadinac9-10;Inactivos
Inactivo-009;881;981;ciudadinac9-11;Inactivos
Inactivo-009;846;887;ciudadinac9-12;Inactivos
Inactivo-010;327;754;ciudadinac10-1;Inactivos
Inactivo-010;118;529;ciudadinac10-2;Inactivos
Inactivo-010;910;771;ciudadinac10-3;Inactivos
Inactivo-010;336;612;ciudadinac10-4;Inactivos
Inactivo-010;111;156;ciudadinac10-5;Inactivos
Inactivo-010;607;342;ciudadinac10-6;Inactivos
Inactivo-010;828;635;ciudadinac10-7;Inactivos
Inactivo-010;909;134;ciudadinac10-8;Inactivos
Inactivo-010;415;232;ciudadinac10-9;Inactivos
Inactivo-010;810;259;ciudadinac10-10;Inactivos
Inactivo-010;306;40;ciudadinac10-11;Inactivos
Inactivo-010;988;763;ciudadinac10-12;Inactivos
Inactivo-011;650;464;ciudadinac11-1;Inactivos
Inactivo-011;539;187;ciudadinac11-2;Inactivos
Inactivo-011;702;58;ciudadinac11-3;Inactivos
Inactivo-011;471;190;ciudadinac11-4;Inactivos
Inactivo-011;480;72;ciudadinac11-5;Inactivos
Inactivo-011;641;997;ciudadinac11-6;Inactivos
Inactivo-011;101;427;ciudadinac11-7;Inactivos
Inactivo-011;100;34;ciudadinac11-8;Inactivos
Inactivo-011;88;219;ciudadinac11-9;Inactivos
Inactivo-011;563;553;ciudadinac11-10;Inactivos
Inactivo-011;29;219;ciudadinac11-11;Inactivos
Inactivo-011;876;32;ciudadinac11-12;Inactivos
Inactivo-012;661;349;ciudadinac12-1;Inactivos
Inactivo-012;86;746;ciudadinac12-2;Inactivos
Inactivo-012;56;25;ciudadinac12-3;Inactivos
Inactivo-012;216;707;ciudadinac12-4;Inactivos
Inactivo-012;5;154;ciudadinac12-5;Inactivos
Inactivo-012;860;453;ciudadinac12-6;Inactivos
Inactivo-012;64;896;ciudadinac12-7;Inactivos
Inactivo-012;15;910;ciudadinac12-8;Inactivos
Inactivo-012;684;820;ciudadinac12-9;Inactivos
Inactivo-012;334;457;ciudadinac12-10;Inactivos
Inactivo-012;430;611;ciudadinac12-11;Inactivos
Inactivo-012;845;712;ciudadinac12-12;Inactivos
Inactivo-013;230;371;ciudadinac13-1;Inactivos
Inactivo-013;702;846;ciudadinac13-2;Inactivos
Inactivo-013;397;239;ciudadinac13-3;Inactivos
Inactivo-013;320;997;ciudadinac13-4;Inactivos
Inactivo-013;482;107;ciudadinac13-5;Inactivos
Inactivo-013;811;66;ciudadinac13-6;Inactivos
Inactivo-013;432;936;ciudadinac13-7;Inactivos
Inactivo-013;789;69;ciudadinac13-8;Inactivos
Inactivo-013;906;228;ciudadinac13-9;Inactivos
Inactivo-013;370;795;ciudadinac13-10;Inactivos
Inactivo-013;880;437;ciudadinac13-11;Inactivos
Inactivo-013;350;629;ciudadinac13-12;Inactivos
Inactivo-014;567;766;ciudadinac14-1;Inactivos
Inactivo-014;533;937;ciudadinac14-2;Inactivos
Inactivo-014;520;832;ciudadinac14-3;Inactivos
Inactivo-014;924;90;ciudadinac14-4;Inactivos
Inactivo-014;608;669;ciudadinac14-5;Inactivos
Inactivo-014;705;921;ciudadinac14-6;Inactivos
Inactivo-014;721;774;ciudadinac14-7;Inactivos
Inactivo-014;546;916;ciudadinac14-8;Inactivos
Inactivo-014;49;588;ciudadinac14-9;Inactivos
Inactivo-014;74;170;ciudadinac14-10;Inactivos
Inactivo-014;463;633;ciudadinac14-11;Inactivos
Inactivo-014;924;854;ciudadinac14-12;Inactivos
Inactivo-015;390;903;ciudadinac15-1;Inactivos
Inactivo-015;463;891;ciudadinac15-2;Inactivos
Inactivo-015;220;66;ciudadinac15-3;Inactivos
Inactivo-015;571;740;ciudadinac15-4;Inactivos
Inactivo-015;998;298;ciudadinac15-5;Inactivos
Inactivo-015;473;372;ciudadinac15-6;Inactivos
Inactivo-015;685;825;ciudadinac15-7;Inactivos
Inactivo-015;9;536;ciudadinac15-8;Inactivos
Inactivo-015;119;149;ciudadinac15-9;Inactivos
Inactivo-015;98;354;ciudadinac15-10;Inactivos
Inactivo-015;952;711;ciudadinac15-11;Inactivos
Inactivo-015;543;256;ciudadinac15-12;Inactivos
Inactivo-016;321;517;ciudadinac16-1;Inactivos
Inactivo-016;114;811;ciudadinac16-2;Inactivos
Inactivo-016;398;647;ciudadinac16-3;Inactivos
Inactivo-016;440;256;ciudadinac16-4;Inactivos
Inactivo-016;728;926;ciudadinac16-5;Inactivos
Inactivo-016;748;650;ciudadinac16-6;Inactivos
Inactivo-016;644;835;ciudadinac16-7;Inactivos
Inactivo-016;480;963;ciudadinac16-8;Inactivos
Inactivo-016;384;730;ciudadinac16-9;Inactivos
Inactivo-016;598;806;ciudadinac16-10;Inactivos
Inactivo-016;373;187;ciudadinac16-11;Inactivos
Inactivo-016;54;89;ciudadinac16-12;Inactivos
Inactivo-017;665;377;ciudadinac17-1;Inactivos
Inactivo-017;626;366;ciudadinac17-2;Inactivos
Inactivo-017;65;420;ciudadinac17-3;Inactivos
Inactivo-017;401;686;ciudadinac17-4;Inactivos
Inactivo-017;241;605;ciudadinac17-5;Inactivos
Inactivo-017;469;916;ciudadinac17-6;Inactivos
Inactivo-017;672;290;ciudadinac17-7;Inactivos
Inactivo-017;14;467;ciudadinac17-8;Inactivos
Inactivo-017;898;142;ciudadinac17-9;Inactivos
Inactivo-017;905;97;ciudadinac17-10;Inactivos
Inactivo-017;897;515;ciudadinac17-11;Inactivos
Inactivo-017;435;257;ciudadinac17-12;Inactivos
Inactivo-018;955;284;ciudadinac18-1;Inactivos
Inactivo-018;516;21;ciudadinac18-2;Inactivos
Inactivo-018;745;571;ciudadinac18-3;Inactivos
Inactivo-018;666;480;ciudadinac18-4;Inactivos
Inactivo-018;4;984;ciudadinac18-5;Inactivos
Inactivo-018;158;641;ciudadinac18-6;Inactivos
Inactivo-018;138;630;ciudadinac18-7;Inactivos
Inactivo-018;325;535;ciudadinac18-8;Inactivos
Inactivo-018;581;445;ciudadinac18-9;Inactivos
Inactivo-018;851;878;ciudadinac18-10;Inactivos
Inactivo-018;474;886;ciudadinac18-11;Inactivos
Inactivo-018;680;789;ciudadinac18-12;Inactivos
Inactivo-019;652;453;ciudadinac19-1;Inactivos
Inactivo-019;991;532;ciudadinac19-2;Inactivos
Inactivo-019;627;438;ciudadinac19-3;Inactivos
Inactivo-019;477;287;ciudadinac19-4;Inactivos
Inactivo-019;822;800;ciudadinac19-5;Inactivos
Inactivo-019;357;746;ciudadinac19-6;Inactivos
Inactivo-019;998;853;ciudadinac19-7;Inactivos
Inactivo-019;567;338;ciudadinac19-8;Inactivos
Inactivo-019;885;209;ciudadinac19-9;Inactivos
Inactivo-019;1;556;ciudadinac19-10;Inactivos
Inactivo-019;948;287;ciudadinac19-11;Inactivos
Inactivo-019;963;956;ciudadinac19-12;Inactivos
Inactivo-020;542;426;ciudadinac20-1;Inactivos
Inactivo-020;222;741;ciudadinac20-2;Inactivos
Inactivo-020;848;514;ciudadinac20-3;Inactivos
Inactivo-020;177;99;ciudadinac20-4;Inactivos
Inactivo-020;723;570;ciudadinac20-5;Inactivos
Inactivo-020;890;535;ciudadinac20-6;Inactivos
Inactivo-020;165;707;ciudadinac20-7;Inactivos
Inactivo-020;637;77;ciudadinac20-8;Inactivos
Inactivo-020;66;947;ciudadinac20-9;Inactivos
Inactivo-020;304;54;ciudadinac20-10;Inactivos
Inactivo-020;941;889;ciudadinac20-11;Inactivos
Inactivo-020;395;842;ciudadinac20-12;Inactivos
Inactivo-021;722;260;ciudadinac21-1;Inactivos
Inactivo-021;147;587;ciudadinac21-2;Inactivos
Inactivo-021;965;384;ciudadinac21-3;Inactivos
Inactivo-021;980;446;ciudadinac21-4;Inactivos
Inactivo-021;223;781;ciudadinac21-5;Inactivos
Inactivo-021;678;852;ciudadinac21-6;Inactivos
Inactivo-021;683;739;ciudadinac21-7;Inactivos
Inactivo-021;217;694;ciudadinac21-8;Inactivos
Inactivo-021;732;720;ciudadinac21-9;Inactivos
Inactivo-021;695;729;ciudadinac21-10;Inactivos
Inactivo-021;814;930;ciudadinac21-11;Inactivos
Inactivo-021;473;864;ciudadinac21-12;Inactivos
Inactivo-022;57;81;ciudadinac22-1;Inactivos
Inactivo-022;945;284;ciudadinac22-2;Inactivos
Inactivo-022;310;23;ciudadinac22-3;Inactivos
Inactivo-022;490;554;ciudadinac22-4;Inactivos
Inactivo-022;224;615;ciudadinac22-5;Inactivos
Inactivo-022;944;474;ciudadinac22-6;Inactivos
Inactivo-022;736;642;ciudadinac22-7;Inactivos
Inactivo-022;606;911;ciudadinac22-8;Inactivos
Inactivo-022;798;312;ciudadinac22-9;Inactivos
Inactivo-022;888;889;ciudadinac22-10;Inactivos
Inactivo-022;592;456;ciudadinac22-11;Inactivos
Inactivo-022;395;14;ciudadinac22-12;Inactivos
Inactivo-023;736;615;ciudadinac23-1;Inactivos
Inactivo-023;114;613;ciudadinac23-2;Inactivos
Inactivo-023;71;790;ciudadinac23-3;Inactivos
Inactivo-023;430;271;ciudadinac23-4;Inactivos
Inactivo-023;24;77;ciudadinac23-5;Inactivos
Inactivo-023;1;133;ciudadinac23-6;Inactivos
Inactivo-023;615;260;ciudadinac23-7;Inactivos
Inactivo-023;160;500;ciudadinac23-8;Inactivos
Inactivo-023;671;153;ciudadinac23-9;Inactivos
Inactivo-023;239;297;ciudadinac23-10;Inactivos
Inactivo-023;73;449;ciudadinac23-11;Inactivos
Inactivo-023;507;6;ciudadinac23-12;Inactivos
Inactivo-024;205;529;ciudadinac24-1;Inactivos
Inactivo-024;694;55;ciudadinac24-2;Inactivos
Inactivo-024;291;784;ciudadinac24-3;Inactivos
Inactivo-024;138;294;ciudadinac24-4;Inactivos
Inactivo-024;797;44;ciudadinac24-5;Inactivos
Inactivo-024;776;829;ciudadinac24-6;Inactivos
Inactivo-024;815;908;ciudadinac24-7;Inactivos
Inactivo-024;655;907;ciudadinac24-8;Inactivos
Inactivo-024;287;434;ciudadinac24-9;Inactivos
Inactivo-024;508;301;ciudadinac24-10;Inactivos
Inactivo-024;3;994;ciudadinac24-11;Inactivos
Inactivo-024;863;393;ciudadinac24-12;Inactivos
Inactivo-025;148;736;ciudadinac25-1;Inactivos
Inactivo-025;271;657;ciudadinac25-2;Inactivos
Inactivo-025;494;889;ciudadinac25-3;Inactivos
Inactivo-025;700;914;ciudadinac25-4;Inactivos
Inactivo-025;917;279;ciudadinac25-5;Inactivos
Inactivo-025;328;228;ciudadinac25-6;Inactivos
Inactivo-025;620;910;ciudadinac25-7;Inactivos
Inactivo-025;993;839;ciudadinac25-8;Inactivos
Inactivo-025;45;327;ciudadinac25-9;Inactivos
Inactivo-025;177;315;ciudadinac25-10;Inactivos
Inactivo-025;57;120;ciudadinac25-11;Inactivos
Inactivo-025;95;240;ciudadinac25-12;Inactivos
