id;x;y;nombre;tipo;hp;pa;ca;destreza;experiencia;deteccion
Dios-037;546;409;Dios 037;Dioses;9555476;7045181;2880137;400;13592303;25
Dios-038;572;428;Dios 038;Dioses;9651031;7115632;2908938;400;13728226;25
Dios-039;591;454;Dios 039;Dioses;9747541;7186789;2938028;400;13865509;25
Dios-040;601;484;Dios 040;Dioses;9845017;7258657;2967408;400;14004164;25
Dios-041;618;538;Dios 041;Dioses;9943467;7331243;2997082;400;14144205;25
Dios-042;600;573;Dios 042;Dioses;10042902;7404556;3027053;400;14285648;25
Dios-043;573;600;Dios 043;Dioses;10143331;7478601;3057323;400;14428504;25
Dios-044;538;618;Dios 044;Dioses;10244764;7553387;3087897;400;14572789;25
Dios-045;500;624;Dios 045;Dioses;10347212;7628921;3118776;400;14718517;25
Dios-046;462;618;Dios 046;Dioses;10450684;7705210;3149963;400;14865702;25
Dios-047;427;600;Dios 047;Dioses;10555190;7782262;3181463;400;15014359;25
Dios-048;400;573;Dios 048;Dioses;10660742;7860085;3213278;400;15164503;25
Dios-049;382;538;Dios 049;Dioses;10767350;7938686;3245410;400;15316148;25
Dios-050;376;500;Dios 050;Dioses;10875023;8018073;3277864;400;15469309;25
Dios-051;382;462;Dios 051;Dioses;10983774;8098253;3310643;400;15624002;25
Dios-052;400;427;Dios 052;Dioses;11093611;8179236;3343750;400;15780242;25
Dios-053;427;400;Dios 053;Dioses;11204547;8261028;3377187;400;15938045;25
Dios-054;462;382;Dios 054;Dioses;11316593;8343638;3410959;400;16097425;25
Dios-055;500;376;Dios 055;Dioses;11429759;8427075;3445068;400;16258399;25
Dios-056;538;382;Dios 056;Dioses;11544056;8511346;3479519;400;16420983;25
Dios-057;573;400;Dios 057;Dioses;11659497;8596459;3514314;400;16585193;25
Dios-058;600;427;Dios 058;Dioses;11776092;8682424;3549457;400;16751045;25
Dios-059;618;462;Dios 059;Dioses;11893853;8769248;3584952;400;16918556;25
Dios-060;624;500;Dios 060;Dioses;12012791;8856940;3620802;400;17087741;25
Dios-061;630;566;Dios 061;Dioses;12132919;8945510;3657010;400;17258619;25
Dios-062;603;603;Dios 062;Dioses;12254248;9034965;3693580;400;17431205;25
Dios-063;566;630;Dios 063;Dioses;12376791;9125315;3730515;400;17605517;25
Dios-064;523;644;Dios 064;Dioses;12500559;9216568;3767821;400;17781572;25
Dios-065;478;644;Dios 065;Dioses;12625564;9308733;3805499;400;17959388;25
Dios-066;434;630;Dios 066;Dioses;12751820;9401821;3843554;400;18138982;25
Dios-067;397;603;Dios 067;Dioses;12879338;9495839;3881989;400;18320371;25
Dios-068;370;566;Dios 068;Dioses;13008132;9590797;3920809;400;18503575;25
Dios-069;356;523;Dios 069;Dioses;13138213;9686705;3960017;400;18688611;25
Dios-070;356;477;Dios 070;Dioses;13269595;9783572;3999618;400;18875497;25
Dios-071;370;434;Dios 071;Dioses;13402291;9881408;4039614;400;19064252;25
Dios-072;397;397;Dios 072;Dioses;13536314;9980222;4080010;400;19254895;25
Dios-073;434;370;Dios 073;Dioses;13671677;10080024;4120810;400;19447443;25
Dios-074;477;356;Dios 074;Dioses;13808394;10180825;4162018;400;19641918;25
Dios-075;523;356;Dios 075;Dioses;13946478;10282633;4203638;400;19838337;25
Dios-076;566;370;Dios 076;Dioses;14085943;10385459;4245675;400;20036720;25
Dios-077;603;397;Dios 077;Dioses;14226802;10489314;4288131;400;20237088;25
Dios-078;630;434;Dios 078;Dioses;14369070;10594207;4331013;400;20439459;25
Dios-079;644;477;Dios 079;Dioses;14512761;10700149;4374323;400;20643853;25
Dios-080;644;523;Dios 080;Dioses;14657888;10807150;4418066;400;20850292;25
Dios-081;635;598;Dios 081;Dioses;14804467;10915222;4462247;500;21058795;25
Dios-082;598;635;Dios 082;Dioses;14952512;11024374;4506869;500;21269383;25
Dios-083;552;659;Dios 083;Dioses;15102037;11134618;4551938;500;21482076;25
Dios-084;500;667;Dios 084;Dioses;15253057;11245964;4597457;500;21696897;25
Dios-085;448;659;Dios 085;Dioses;15405588;11358424;4643432;500;21913866;25
Dios-086;402;635;Dios 086;Dioses;15559644;11472008;4689866;500;22133005;25
Dios-087;365;598;Dios 087;Dioses;15715240;11586728;4736765;500;22354335;25
Dios-088;341;552;Dios 088;Dioses;15872393;11702595;4784132;500;22577878;25
Dios-089;333;500;Dios 089;Dioses;16031117;11819621;4831974;500;22803657;25
Dios-090;341;448;Dios 090;Dioses;16191428;11937817;4880293;500;23031693;25
Dios-091;365;402;Dios 091;Dioses;16353342;12057196;4929096;500;23262010;25
Dios-092;402;365;Dios 092;Dioses;16516876;12177768;4978387;500;23494631;25
Dios-093;448;341;Dios 093;Dioses;16682044;12299545;5028171;500;23729577;25
Dios-094;500;333;Dios 094;Dioses;16848865;12422541;5078453;500;23966873;25
Dios-095;552;341;Dios 095;Dioses;17017353;12546766;5129237;500;24206541;25
Dios-096;598;365;Dios 096;Dioses;17187527;12672234;5180530;500;24448607;25
Dios-097;635;402;Dios 097;Dioses;17359402;12798956;5232335;500;24693093;25
Dios-098;659;448;Dios 098;Dioses;17532996;12926946;5284659;500;24940024;25
Dios-099;667;500;Dios 099;Dioses;17708326;13056215;5337505;500;25189424;25
Dios-100;659;552;Dios 100;Dioses;17885409;13186777;5390880;500;25441318;25
Dios-101;615;650;Dios 101;Dioses;18064264;13318645;5444789;500;25695731;25
Dios-102;586;669;Dios 102;Dioses;18244906;13451832;5499237;500;25952689;25
Dios-103;530;687;Dios 103;Dioses;18427355;13586350;5554229;500;26212216;25
Dios-104;470;687;Dios 104;Dioses;18611629;13722213;5609772;500;26474338;25
Dios-105;414;669;Dios 105;Dioses;18797745;13859436;5665869;500;26739081;25
Dios-106;366;634;Dios 106;Dioses;18985722;13998030;5722528;500;27006472;25
Dios-107;331;586;Dios 107;Dioses;19175580;14138010;5779753;500;27276537;25
Dios-108;313;530;Dios 108;Dioses;19367336;14279390;5837551;500;27549302;25
Dios-109;313;470;Dios 109;Dioses;19561009;14422184;5895926;500;27824795;25
Dios-110;331;414;Dios 110;Dioses;19756619;14566406;5954885;500;28103043;25
Dios-111;384;351;Dios 111;Dioses;19954185;14712070;6014434;500;28384073;25
Dios-112;414;331;Dios 112;Dioses;20153727;14859191;6074579;500;28667914;25
Dios-113;470;313;Dios 113;Dioses;20355264;15007783;6135324;500;28954593;25
Dios-114;530;313;Dios 114;Dioses;20558817;15157860;6196678;500;29244139;25
Dios-115;586;331;Dios 115;Dioses;20764405;15309439;6258645;500;29536581;25
Dios-116;634;366;Dios 116;Dioses;20972049;15462533;6321231;500;29831946;25
Dios-117;669;414;Dios 117;Dioses;21181770;15617159;6384443;500;30130266;25
Dios-118;687;470;Dios 118;Dioses;21393587;15773330;6448288;500;30431569;25
Dios-119;687;530;Dios 119;Dioses;21607523;15931064;6512771;500;30735884;25
Dios-120;669;586;Dios 120;Dioses;21823598;16090374;6577898;500;31043243;25
Dios-121;615;677;Dios 121;Dioses;22041834;16251278;6643677;500;31353676;25
Dios-122;565;701;Dios 122;Dioses;22262253;16413791;6710114;500;31667212;25
Dios-123;500;711;Dios 123;Dioses;22484875;16577929;6777215;500;31983884;25
Dios-124;435;701;Dios 124;Dioses;22709724;16743708;6844987;500;32303723;25
Dios-125;376;671;Dios 125;Dioses;22936821;16911145;6913437;500;32626760;25
Dios-126;329;624;Dios 126;Dioses;23166189;17080257;6982572;500;32953028;25
Dios-127;299;565;Dios 127;Dioses;23397851;17251059;7052397;500;33282558;25
Dios-128;289;500;Dios 128;Dioses;23631830;17423570;7122921;500;33615384;25
Dios-129;299;435;Dios 129;Dioses;23868148;17597805;7194150;500;33951538;25
Dios-130;324;384;Dios 130;Dioses;24106830;17773784;7266092;500;34291053;25
Dios-131;384;324;Dios 131;Dioses;24347898;17951521;7338753;500;34633964;25
Dios-132;435;299;Dios 132;Dioses;24591377;18131037;7412140;500;34980303;25
Dios-133;500;289;Dios 133;Dioses;24837291;18312347;7486262;500;35330106;25
Dios-134;565;299;Dios 134;Dioses;25085664;18495470;7561124;500;35683407;25
Dios-135;624;329;Dios 135;Dioses;25336520;18680425;7636736;500;36040241;25
Dios-136;671;376;Dios 136;Dioses;25589885;18867229;7713103;500;36400644;25
Dios-137;701;435;Dios 137;Dioses;25845784;19055902;7790234;500;36764650;25
Dios-138;711;500;Dios 138;Dioses;26104242;19246461;7868136;500;37132297;25
Dios-139;701;565;Dios 139;Dioses;26365285;19438925;7946818;500;37503620;25
Dios-140;677;615;Dios 140;Dioses;26628937;19633315;8026286;500;37878656;25
Dios-141;606;708;Dios 141;Dioses;26895227;19829648;8106549;500;38257443;25
Dios-142;536;730;Dios 142;Dioses;27164179;20027944;8187614;500;38640017;25
Dios-143;464;730;Dios 143;Dioses;27435821;20228224;8269490;500;39026417;25
Dios-144;394;708;Dios 144;Dioses;27710179;20430506;8352185;500;39416681;25
Dios-145;335;665;Dios 145;Dioses;27987281;20634811;8435707;500;39810848;25
Dios-146;292;606;Dios 146;Dioses;28267154;20841159;8520064;500;40208957;25
Dios-147;270;536;Dios 147;Dioses;28549825;21049571;8605265;500;40611046;25
Dios-148;270;464;Dios 148;Dioses;28835323;21260066;8691318;500;41017157;25
Dios-149;292;394;Dios 149;Dioses;29123677;21472667;8778231;500;41427328;25
Dios-150;384;298;Dios 150;Dioses;29414913;21687394;8866013;500;41841602;25
Dios-151;394;292;Dios 151;Dioses;29709063;21904268;8954673;500;42260018;25
Dios-152;464;270;Dios 152;Dioses;30006153;22123310;9044220;500;42682618;25
Dios-153;536;270;Dios 153;Dioses;30306215;22344543;9134662;500;43109444;25
Dios-154;606;292;Dios 154;Dioses;30609277;22567989;9226009;500;43540538;25
Dios-155;665;335;Dios 155;Dioses;30915370;22793669;9318269;500;43975944;25
Dios-156;708;394;Dios 156;Dioses;31224523;23021605;9411452;500;44415703;25
Dios-157;730;464;Dios 157;Dioses;31536769;23251821;9505566;500;44859860;25
Dios-158;730;536;Dios 158;Dioses;31852136;23484340;9600622;500;45308459;25
Dios-159;708;606;Dios 159;Dioses;32170658;23719183;9696628;500;45761543;25
Dios-160;615;702;Dios 160;Dioses;32492364;23956375;9793594;500;46219159;25
Dios-161;579;742;Dios 161;Dioses;32817288;24195939;9891530;600;46681350;25
Dios-162;500;755;Dios 162;Dioses;33145461;24437898;9990445;600;47148164;25
Dios-163;421;742;Dios 163;Dioses;33476915;24682277;10090350;600;47619646;25
Dios-164;350;706;Dios 164;Dioses;33811685;24929100;10191253;600;48095842;25
Dios-165;294;650;Dios 165;Dioses;34149801;25178391;10293166;600;48576800;25
Dios-166;258;579;Dios 166;Dioses;34491299;25430175;10396098;600;49062568;25
Dios-167;245;500;Dios 167;Dioses;34836212;25684476;10500059;600;49553194;25
Dios-168;258;421;Dios 168;Dioses;35184574;25941321;10605059;600;50048726;25
Dios-169;282;368;Dios 169;Dioses;35536420;26200734;10711110;600;50549213;25
Dios-170;368;282;Dios 170;Dioses;35891784;26462742;10818221;600;51054705;25
Dios-171;421;258;Dios 171;Dioses;36250702;26727369;10926403;600;51565252;25
Dios-172;500;245;Dios 172;Dioses;36613209;26994643;11035667;600;52080905;25
Dios-173;579;258;Dios 173;Dioses;36979341;27264589;11146024;600;52601714;25
Dios-174;650;294;Dios 174;Dioses;37349135;27537235;11257484;600;53127731;25
Dios-175;706;350;Dios 175;Dioses;37722626;27812607;11370059;600;53659008;25
Dios-176;742;421;Dios 176;Dioses;38099852;28090734;11483759;600;54195599;25
Dios-177;755;500;Dios 177;Dioses;38480851;28371641;11598597;600;54737555;25
Dios-178;742;579;Dios 178;Dioses;38865659;28655357;11714583;600;55284930;25
Dios-179;717;634;Dios 179;Dioses;39254316;28941911;11831729;600;55837779;25
Dios-180;634;717;Dios 180;Dioses;39646859;29231330;11950046;600;56396157;25
Dios-181;543;773;Dios 181;Dioses;40043328;29523643;12069547;600;56960119;25
Dios-182;457;773;Dios 182;Dioses;40443761;29818880;12190242;600;57529720;25
Dios-183;374;746;Dios 183;Dioses;40848199;30117068;12312144;600;58105017;25
Dios-184;304;696;Dios 184;Dioses;41256681;30418239;12435266;600;58686067;25
Dios-185;254;626;Dios 185;Dioses;41669247;30722422;12559619;600;59272928;25
Dios-186;227;543;Dios 186;Dioses;42085940;31029646;12685215;600;59865657;25
Dios-187;227;457;Dios 187;Dioses;42506799;31339942;12812067;600;60464314;25
Dios-188;254;374;Dios 188;Dioses;42931867;31653342;12940188;600;61068957;25
Dios-189;329;282;Dios 189;Dioses;43361186;31969875;13069589;600;61679647;25
Dios-190;374;254;Dios 190;Dioses;43794798;32289574;13200285;600;62296443;25
Dios-191;457;227;Dios 191;Dioses;44232746;32612470;13332288;600;62919407;25
Dios-192;543;227;Dios 192;Dioses;44675073;32938594;13465611;600;63548602;25
Dios-193;626;254;Dios 193;Dioses;45121824;33267980;13600267;600;64184088;25
Dios-194;696;304;Dios 194;Dioses;45573042;33600660;13736270;600;64825928;25
Dios-195;746;374;Dios 195;Dioses;46028773;33936667;13873633;600;65474188;25
Dios-196;773;457;Dios 196;Dioses;46489060;34276033;14012369;600;66128930;25
Dios-197;773;543;Dios 197;Dioses;46953951;34618794;14152493;600;66790219;25
Dios-198;746;626;Dios 198;Dioses;47423491;34964982;14294017;600;67458121;25
Dios-199;672;717;Dios 199;Dioses;47897725;35314631;14436958;600;68132702;25
Dios-200;626;746;Dios 200;Dioses;48376703;35667778;14581327;600;68814029;25
Dios-201;500;798;Dios 201;Dioses;48860470;36024455;14727140;700;69502170;25
Dios-202;408;784;Dios 202;Dioses;49349074;36384700;14874412;700;70197191;25
Dios-203;325;741;Dios 203;Dioses;49842565;36748547;15023156;700;70899163;25
Dios-204;259;675;Dios 204;Dioses;50340991;37116032;15173388;700;71608155;25
Dios-205;216;592;Dios 205;Dioses;50844401;37487193;15325121;700;72324236;25
Dios-206;202;500;Dios 206;Dioses;51352845;37862065;15478373;700;73047479;25
Dios-207;216;408;Dios 207;Dioses;51866373;38240685;15633156;700;73777954;25
Dios-208;259;325;Dios 208;Dioses;52385037;38623092;15789488;700;74515733;25
Dios-209;325;259;Dios 209;Dioses;52908887;39009323;15947383;700;75260890;25
Dios-210;408;216;Dios 210;Dioses;53437976;39399416;16106857;700;76013499;25
Dios-211;500;202;Dios 211;Dioses;53972356;39793411;16267925;700;76773634;25
Dios-212;592;216;Dios 212;Dioses;54512080;40191345;16430604;700;77541371;25
Dios-213;675;259;Dios 213;Dioses;55057200;40593258;16594911;700;78316784;25
Dios-214;741;325;Dios 214;Dioses;55607772;40999191;16760860;700;79099952;25
Dios-215;784;408;Dios 215;Dioses;56163850;41409183;16928468;700;79890952;25
Dios-216;798;500;Dios 216;Dioses;56725489;41823274;17097753;700;80689861;25
Dios-217;784;592;Dios 217;Dioses;57292743;42241507;17268730;700;81496760;25
Dios-218;741;675;Dios 218;Dioses;57865671;42663922;17441418;700;82311727;25
Dios-219;675;741;Dios 219;Dioses;58444328;43090561;17615832;700;83134845;25
Dios-220;592;784;Dios 220;Dioses;59028771;43521467;17791990;700;83966193;25
Dios-221;450;816;Dios 221;Dioses;59619059;43956682;17969910;700;84805855;25
Dios-222;355;785;Dios 222;Dioses;60215249;44396249;18149609;700;85653914;25
Dios-223;274;726;Dios 223;Dioses;60817402;44840211;18331105;700;86510453;25
Dios-224;215;645;Dios 224;Dioses;61425576;45288613;18514416;700;87375557;25
Dios-225;184;550;Dios 225;Dioses;62039831;45741499;18699561;700;88249313;25
Dios-226;184;450;Dios 226;Dioses;62660230;46198914;18886556;700;89131806;25
Dios-227;215;355;Dios 227;Dioses;63286832;46660903;19075422;700;90023124;25
Dios-228;274;274;Dios 228;Dioses;63919700;47127512;19266176;700;90923355;25
Dios-229;355;215;Dios 229;Dioses;64558897;47598788;19458838;700;91832589;25
Dios-230;450;184;Dios 230;Dioses;65204486;48074775;19653426;700;92750915;25
Dios-231;550;184;Dios 231;Dioses;65856531;48555523;19849960;700;93678424;25
Dios-232;645;215;Dios 232;Dioses;66515096;49041078;20048460;700;94615208;25
Dios-233;726;274;Dios 233;Dioses;67180247;49531489;20248945;700;95561360;25
Dios-234;785;355;Dios 234;Dioses;67852050;50026804;20451434;700;96516974;25
Dios-235;816;450;Dios 235;Dioses;68530570;50527072;20655948;700;97482144;25
Dios-236;816;550;Dios 236;Dioses;69215876;51032343;20862508;700;98456965;25
Dios-237;785;645;Dios 237;Dioses;69908035;51542666;21071133;700;99441535;25
Dios-238;726;726;Dios 238;Dioses;70607115;52058093;21281844;700;100435950;25
Dios-239;645;785;Dios 239;Dioses;71313186;52578674;21494663;700;101440310;25
Dios-240;550;816;Dios 240;Dioses;72026318;53104461;21709609;700;102454713;25
Dios-241;394;825;Dios 241;Dioses;72746581;53635505;21926705;700;103479260;25
Dios-242;299;777;Dios 242;Dioses;73474047;54171860;22145972;700;104514052;25
Dios-243;223;701;Dios 243;Dioses;74208788;54713579;22367432;700;105559193;25
Dios-244;175;606;Dios 244;Dioses;74950876;55260715;22591106;700;106614785;25
Dios-245;158;500;Dios 245;Dioses;75700384;55813322;22817018;700;107680933;25
Dios-246;175;394;Dios 246;Dioses;76457388;56371455;23045188;700;108757742;25
Dios-247;223;299;Dios 247;Dioses;77221962;56935170;23275640;700;109845319;25
Dios-248;299;223;Dios 248;Dioses;77994182;57504521;23508396;700;110943773;25
Dios-249;394;175;Dios 249;Dioses;78774124;58079567;23743480;700;112053210;25
Dios-250;500;158;Dios 250;Dioses;79561865;58660362;23980915;700;113173742;25
Dios-251;606;175;Dios 251;Dioses;80357483;59246966;24220724;700;114305480;25
Dios-252;701;223;Dios 252;Dioses;81161058;59839435;24462931;700;115448535;25
Dios-253;777;299;Dios 253;Dioses;81972669;60437830;24707560;700;116603020;25
Dios-254;825;394;Dios 254;Dioses;82792395;61042208;24954636;700;117769050;25
Dios-255;842;500;Dios 255;Dioses;83620319;61652630;25204182;700;118946741;25
Dios-256;825;606;Dios 256;Dioses;84456523;62269156;25456224;700;120136208;25
Dios-257;777;701;Dios 257;Dioses;85301088;62891848;25710786;700;121337570;25
Dios-258;701;777;Dios 258;Dioses;86154099;63520767;25967894;700;122550946;25
Dios-259;606;825;Dios 259;Dioses;87015640;64155974;26227573;700;123776455;25
Dios-260;500;842;Dios 260;Dioses;87885796;64797534;26489849;700;125014220;25
Dios-261;335;824;Dios 261;Dioses;88764654;65445509;26754747;700;126264362;25
Dios-262;243;757;Dios 262;Dioses;89652301;66099964;27022295;700;127527006;25
Dios-263;176;665;Dios 263;Dioses;90548824;66760964;27292518;700;128802276;25
Dios-264;141;557;Dios 264;Dioses;91454312;67428574;27565443;700;130090299;25
Dios-265;141;443;Dios 265;Dioses;92368855;68102859;27841098;700;131391202;25
Dios-266;176;335;Dios 266;Dioses;93292544;68783888;28119509;700;132705114;25
Dios-267;273;216;Dios 267;Dioses;94225469;69471727;28400704;700;134032165;25
Dios-268;335;176;Dios 268;Dioses;95167724;70166444;28684711;700;135372486;25
Dios-269;443;141;Dios 269;Dioses;96119401;70868109;28971558;700;136726211;25
Dios-270;557;141;Dios 270;Dioses;97080595;71576790;29261273;700;138093473;25
Dios-271;665;176;Dios 271;Dioses;98051401;72292558;29553886;700;139474408;25
Dios-272;757;243;Dios 272;Dioses;99031915;73015483;29849425;700;140869152;25
Dios-273;824;335;Dios 273;Dioses;100022234;73745638;30147919;700;142277844;25
Dios-274;859;443;Dios 274;Dioses;101022456;74483094;30449398;700;143700622;25
Dios-275;859;557;Dios 275;Dioses;102032681;75227925;30753892;700;145137628;25
Dios-276;824;665;Dios 276;Dioses;103053008;75980205;31061431;700;146589005;25
Dios-277;757;757;Dios 277;Dioses;104083538;76740007;31372046;700;148054895;25
Dios-278;665;824;Dios 278;Dioses;105124373;77507407;31685766;700;149535444;25
Dios-279;557;859;Dios 279;Dioses;106175617;78282481;32002624;700;151030798;25
Dios-280;443;859;Dios 280;Dioses;107237373;79065306;32322650;700;152541106;25
Dios-281;273;812;Dios 281;Dioses;108309747;79855959;32645876;700;154066517;25
Dios-282;188;727;Dios 282;Dioses;109392844;80654518;32972335;700;155607182;25
Dios-283;133;619;Dios 283;Dioses;110486773;81461063;33302059;700;157163254;25
Dios-284;114;500;Dios 284;Dioses;111591640;82275674;33635079;700;158734887;25
Dios-285;133;381;Dios 285;Dioses;112707557;83098431;33971430;700;160322235;25
Dios-286;188;273;Dios 286;Dioses;113834632;83929415;34311144;700;161925458;25
Dios-287;273;188;Dios 287;Dioses;114972979;84768709;34654256;700;163544712;25
Dios-288;381;133;Dios 288;Dioses;116122709;85616396;35000798;700;165180159;25
Dios-289;500;114;Dios 289;Dioses;117283936;86472560;35350806;700;166831961;25
Dios-290;619;133;Dios 290;Dioses;118456775;87337286;35704314;700;168500281;25
Dios-291;727;188;Dios 291;Dioses;119641343;88210659;36061357;700;170185283;25
Dios-292;812;273;Dios 292;Dioses;120837756;89092765;36421971;700;171887136;25
Dios-293;867;381;Dios 293;Dioses;122046134;89983693;36786191;700;173606008;25
Dios-294;886;500;Dios 294;Dioses;123266595;90883530;37154053;700;175342068;25
Dios-295;867;619;Dios 295;Dioses;124499261;91792365;37525593;700;177095488;25
Dios-296;812;727;Dios 296;Dioses;125744254;92710289;37900849;700;178866443;25
Dios-297;727;812;Dios 297;Dioses;127001696;93637392;38279858;700;180655108;25
Dios-298;619;867;Dios 298;Dioses;128271713;94573766;38662656;700;182461659;25
Dios-299;500;886;Dios 299;Dioses;129554430;95519503;39049283;700;184286275;25
Dios-300;381;867;Dios 300;Dioses;130849975;96474698;39439775;700;186129138;25
Dios-301;212;788;Dios 301;Dioses;132158474;97439445;39834173;750;187990430;25
Dios-302;137;685;Dios 302;Dioses;133480059;98413840;40232515;750;189870334;25
Dios-303;97;564;Dios 303;Dioses;134814860;99397978;40634840;750;191769037;25
Dios-304;97;436;Dios 304;Dioses;136163008;100391958;41041189;750;193686728;25
Dios-305;137;315;Dios 305;Dioses;137524638;101395878;41451600;750;195623595;25
Dios-306;259;171;Dios 306;Dioses;138899885;102409836;41866116;750;197579831;25
Dios-307;315;137;Dios 307;Dioses;140288884;103433935;42284778;750;199555629;25
Dios-308;436;97;Dios 308;Dioses;141691772;104468274;42707625;750;201551185;25
Dios-309;564;97;Dios 309;Dioses;143108690;105512957;43134702;750;203566697;25
Dios-310;685;137;Dios 310;Dioses;144539777;106568086;43566049;750;205602364;25
Dios-311;788;212;Dios 311;Dioses;145985175;107633767;44001709;750;207658388;25
Dios-312;863;315;Dios 312;Dioses;147445027;108710105;44441726;750;209734972;25
Dios-313;903;436;Dios 313;Dioses;148919477;109797206;44886143;750;211832321;25
Dios-314;903;564;Dios 314;Dioses;150408672;110895178;45335005;750;213950645;25
Dios-315;863;685;Dios 315;Dioses;151912758;112004130;45788355;750;216090151;25
Dios-316;788;788;Dios 316;Dioses;153431886;113124171;46246238;750;218251053;25
Dios-317;685;863;Dios 317;Dioses;154966205;114255413;46708701;750;220433563;25
Dios-318;564;903;Dios 318;Dioses;156515867;115397967;47175788;750;222637899;25
Dios-319;436;903;Dios 319;Dioses;158081025;116551947;47647546;750;224864278;25
Dios-320;315;863;Dios 320;Dioses;159661836;117717466;48124021;750;227112921;25
Dios-321;153;752;Dios 321;Dioses;161258454;118894641;48605261;750;229384050;25
Dios-322;92;633;Dios 322;Dioses;162871039;120083587;49091314;750;231677890;25
Dios-323;71;500;Dios 323;Dioses;164499749;121284423;49582227;750;233994669;25
Dios-324;92;367;Dios 324;Dioses;166144746;122497267;50078049;750;236334616;25
Dios-325;153;248;Dios 325;Dioses;167806194;123722240;50578830;750;238697962;25
Dios-326;248;153;Dios 326;Dioses;169484256;124959462;51084618;750;241084942;25
Dios-327;367;92;Dios 327;Dioses;171179098;126209057;51595464;750;243495791;25
Dios-328;500;71;Dios 328;Dioses;172890889;127471147;52111419;750;245930749;25
Dios-329;633;92;Dios 329;Dioses;174619798;128745859;52632533;750;248390056;25
Dios-330;752;153;Dios 330;Dioses;176365996;130033318;53158859;750;250873957;25
Dios-331;847;248;Dios 331;Dioses;178129656;131333651;53690447;750;253382697;25
Dios-332;908;367;Dios 332;Dioses;179910953;132646987;54227352;750;255916523;25
Dios-333;929;500;Dios 333;Dioses;181710062;133973457;54769625;750;258475689;25
Dios-334;908;633;Dios 334;Dioses;183527163;135313192;55317321;750;261060446;25
Dios-335;847;752;Dios 335;Dioses;185362435;136666324;55870495;750;263671050;25
Dios-336;752;847;Dios 336;Dioses;187216059;138032987;56429200;750;266307761;25
Dios-337;633;908;Dios 337;Dioses;189088220;139413317;56993492;750;268970838;25
Dios-338;500;929;Dios 338;Dioses;190979102;140807450;57563427;750;271660547;25
Dios-339;367;908;Dios 339;Dioses;192888893;142215524;58139061;750;274377152;25
Dios-340;248;847;Dios 340;Dioses;194817782;143637680;58720451;750;277120924;25
