id;x;y;tipo;clase;hp;pa;ca;destreza;velocidad;experiencia;deteccion
Cueva-043;95;372;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-044;529;237;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-045;103;385;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-046;973;888;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-047;659;612;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-048;925;57;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-049;381;985;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-050;221;377;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-051;165;714;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-052;647;238;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-053;442;861;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-054;118;364;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-055;726;104;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-056;192;161;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-057;501;13;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-058;825;909;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-059;68;790;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-060;456;270;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-061;400;217;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-062;120;837;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-063;9;332;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-064;772;345;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-065;746;454;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-066;739;177;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-067;582;611;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-068;574;747;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-069;89;193;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-070;308;219;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-071;339;853;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-072;953;914;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-073;711;78;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-074;55;856;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-075;203;462;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-076;790;142;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-077;30;790;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-078;269;645;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-079;754;732;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-080;778;662;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-081;485;306;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-082;768;249;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-083;26;2;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-084;158;814;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-085;40;413;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-086;159;779;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-087;617;574;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-088;664;933;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-089;845;203;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-090;553;818;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-091;55;294;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-092;256;711;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-093;760;748;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-094;759;694;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-095;764;898;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-096;573;674;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-097;402;118;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-098;723;628;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-099;113;528;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-100;470;420;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-101;582;332;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-102;153;582;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-103;116;691;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-104;386;48;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-105;202;614;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-106;269;375;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-107;829;227;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-108;397;808;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-109;105;947;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-110;886;343;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-111;466;651;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-112;497;1;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-113;157;54;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-114;771;542;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-115;880;943;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-116;284;787;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-117;258;887;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-118;299;421;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-119;115;600;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-120;427;817;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-121;91;630;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-122;504;152;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-123;287;56;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-124;659;175;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-125;685;740;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-126;471;213;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-127;940;45;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-128;447;521;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-129;658;219;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-130;628;178;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-131;447;530;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-132;424;955;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-133;930;925;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-134;32;580;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-135;888;16;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-136;408;193;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-137;138;845;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-138;941;427;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-139;625;536;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-140;388;709;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-141;618;924;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-142;851;381;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-143;676;767;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-144;777;670;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-145;726;359;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-146;865;810;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-147;530;829;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-148;631;225;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-149;997;700;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-150;297;874;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-151;588;919;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-152;792;807;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-153;64;495;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-154;363;828;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-155;628;973;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-156;250;631;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-157;726;889;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-158;931;364;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-159;973;846;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-160;937;258;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-161;591;426;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-162;837;567;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-163;55;940;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-164;799;46;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-165;380;81;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-166;166;646;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-167;532;227;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-168;588;793;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-169;237;41;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-170;5;939;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-171;391;773;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-172;357;631;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-173;889;223;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-174;164;56;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-175;894;823;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-176;623;103;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-177;742;469;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-178;7;774;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-179;560;816;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-180;375;941;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-181;688;745;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-182;878;976;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-183;244;430;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-184;262;753;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-185;979;799;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-186;197;507;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-187;207;301;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-188;356;909;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-189;734;303;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-190;194;856;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-191;465;843;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-192;845;399;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-193;161;23;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-194;277;216;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-195;815;785;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-196;622;745;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-197;935;73;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-198;265;489;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-199;447;8;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-200;650;80;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-201;826;413;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-202;884;18;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-203;618;146;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-204;852;322;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-205;322;242;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-206;550;674;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-207;869;649;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-208;202;69;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-209;936;559;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-210;539;594;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-211;52;637;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-212;898;941;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-213;18;504;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-214;301;722;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-215;761;688;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-216;427;672;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-217;158;8;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-218;21;915;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-219;81;938;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-220;944;926;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-221;994;756;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-222;239;481;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-223;410;619;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-224;934;625;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-225;295;480;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-226;655;307;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-227;336;679;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-228;71;772;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-229;186;484;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-230;288;877;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-231;964;751;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-232;160;44;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-233;932;453;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-234;858;86;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-235;391;471;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-236;494;78;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-237;127;541;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-238;4;71;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-239;447;897;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-240;480;656;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-241;876;894;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-242;775;97;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-243;815;798;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-244;575;170;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-245;422;77;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-246;767;758;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-247;408;142;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-248;750;687;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-249;713;360;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-250;864;291;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-251;446;681;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-252;422;333;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-253;91;224;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-254;526;808;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-255;76;324;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-256;168;825;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-257;4;165;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-258;621;789;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-259;619;343;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-260;193;500;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-261;525;681;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-262;486;999;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-263;98;348;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-264;487;825;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-265;85;0;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-266;811;778;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-267;635;171;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-268;673;426;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-269;675;872;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-270;907;364;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-271;955;926;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-272;661;717;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-273;388;568;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-274;853;649;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-275;160;960;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-276;544;806;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-277;98;887;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-278;177;375;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-279;865;889;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-280;896;876;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-281;420;529;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-282;951;156;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-283;724;355;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-284;489;220;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-285;113;476;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-286;625;13;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-287;68;962;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-288;908;203;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-289;3;106;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-290;837;835;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-291;531;738;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-292;909;940;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-293;197;883;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-294;493;882;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-295;853;105;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-296;610;900;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-297;756;200;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-298;797;628;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-299;229;534;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-300;614;772;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-301;170;875;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-302;513;958;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
